Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Name,Team,Min,Ur,Fd,Value,Name,Fpts,Value
41866-19726,SF,Abdel,Abdel Nader,Nader,11.93499985,20,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-110328,SF,Admiral,Admiral Schofield,Schofield,7.330769466,13,3800,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,15.27222188,18,3800,ORL@POR,ORL,POR,O,Knee,,0,,,,,,,,,
41866-110365,PF,Alen,Alen Smailagic,Smailagic,0,0,3500,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,6.494444529,18,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-84718,PF,Alize,Alize Johnson,Johnson,3.266666624,9,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-84827,SG,Allonzo,Allonzo Trier,Trier,11.53333282,12,3500,NY@MIA,NY,MIA,GTD,Concussion,,0,,,,,,,,,
41866-23581,PF,Amile,Amile Jefferson,Jefferson,2.333333333,6,3500,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-9664,SG,Andre,Andre Iguodala,Iguodala,19.10882389,68,3800,MEM@CLE,MEM,CLE,O,Not injury related,,0,,,,,,,,,
41866-15548,SG,Andre,Andre Roberson,Roberson,0,0,3500,PHO@OKC,OKC,PHO,O,Knee,,0,,,,,,,,,
41866-84717,PG,Anfernee,Anfernee Simons,Simons,14.95000022,28,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-70824,C,Ante,Ante Zizic,Zizic,8.39999983,9,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-9920,PF,Anthony,Anthony Tolliver,Tolliver,9.175,20,3500,ORL@POR,POR,ORL,,,,0,,,,,,,,,
41866-48583,SG,Antonius,Antonius Cleveland,Cleveland,0,0,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-117913,C,Anzejs,Anzejs Pasecniks,Pasecniks,18.10000038,1,4000,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
41866-37931,C,Aron,Aron Baynes,Baynes,25.42777846,18,4300,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-101327,SF,BJ,BJ Johnson,Johnson,0,1,3500,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-9560,PF,Blake,Blake Griffin,Griffin,26.34666748,15,5900,DET@BOS,DET,BOS,GTD,Knee,,0,,,,,,,,,
41866-63826,C,Boban,Boban Marjanovic,Marjanovic,14.31818182,11,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-42156,C,Bobby,Bobby Portis,Portis,19.48214286,28,3800,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-110313,C,Bol,Bol Bol,Bol,0,0,3500,MIN@DEN,DEN,MIN,,,,0,,,,,,,,,
41866-16790,PG,Brad,Brad Wanamaker,Wanamaker,21.95,25,3500,DET@BOS,BOS,DET,GTD,Hip,,0,,,,,,,,,
41866-14506,PG,Brandon,Brandon Knight,Knight,9.177777608,9,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-110829,SG,Brian,Brian Bowen,Bowen,2.066666603,3,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-55058,SF,Bruno,Bruno Caboclo,Caboclo,10.47058824,17,3500,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-9725,SF,C.J.,C.J. Miles,Miles,13.43999939,10,3500,WAS@TOR,WAS,TOR,O,Wrist,,0,,,,,,,,,
41866-66185,PF,Caleb,Caleb Swanigan,Swanigan,2.8,5,3500,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-110316,SF,Cameron,Cameron Johnson,Johnson,16.59166718,24,3800,PHO@OKC,PHO,OKC,GTD,Hip,,0,,,,,,,,,
41866-110332,PG,Carsen,Carsen Edwards,Edwards,7.890476045,21,3500,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-63126,SF,Cedi,Cedi Osman,Osman,19.48928615,28,3900,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-66091,PF,Cheick,Cheick Diallo,Diallo,10.33888923,18,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-117274,PF,Chris,Chris Silva,Silva,10.27916654,24,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-42202,PF,Christian,Christian Wood,Wood,18.29230793,26,4400,DET@BOS,DET,BOS,O,Knee,,0,,,,,,,,,
41866-14529,PG,Cory,Cory Joseph,Joseph,17.38888889,27,3600,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-9615,SG,Courtney,Courtney Lee,Lee,5.637499809,8,3500,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-9466,PG,D.J.,D.J. Augustin,Augustin,21.28571429,28,4600,ORL@POR,ORL,POR,,,,0,,,,,,,,,
41866-18376,SG,Damion,Damion Lee,Lee,18.74000041,15,3800,NO@GS,GS,NO,,,,0,,,,,,,,,
41866-23676,SG,Damyean,Damyean Dotson,Dotson,10.91666667,24,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,2.349999905,2,3500,SAC@IND,SAC,IND,GTD,Undisclosed,,0,,,,,,,,,
41866-110637,SF,Darius,Darius Bazley,Bazley,10.32592547,27,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
41866-110342,PG,Darius,Darius Garland,Garland,20.62,28,4400,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-15762,SF,Darius,Darius Miller,Miller,15.50144892,69,3500,NO@GS,NO,GS,O,Achilles,,0,,,,,,,,,
41866-85309,PG,Daryl,Daryl Macon,Macon,0.625,4,3500,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-84703,PG,De'Anthony,De'Anthony Melton,Melton,23.23,17,4300,MEM@CLE,MEM,CLE,,,,0,,,,,,,,,
41866-110883,PF,Dean,Dean Wade,Wade,2.799999873,3,3500,MEM@CLE,CLE,MEM,,,,0,,,,,,,,,
41866-84673,C,Deandre,Deandre Ayton,Ayton,30.14,2,7800,PHO@OKC,PHO,OKC,O,Ankle,,0,,,,,,,,,
41866-40830,SG,Delon,Delon Wright,Wright,20.9,25,4100,DAL@PHI,DAL,PHI,GTD,Finger,,0,,,,,,,,,
41866-80814,PG,Dennis,Dennis Smith,Smith,13.06111145,18,3500,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-85106,SG,Deonte,Deonte Burton,Burton,5.599999746,12,3500,PHO@OKC,OKC,PHO,,,,0,,,,,,,,,
