Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41852-66411,G,Juuse,Juuse Saros,Saros,22.2837,17,7400,NSH@OTT,NSH,OTT,,,,,
41852-59208,W,Kevin,Kevin Fiala,Fiala,7.83513,30,4400,MIN@ARI,MIN,ARI,,,,,2
41852-58990,C,Kevin,Kevin Hayes,Hayes,9.45153,34,5400,BUF@PHI,PHI,BUF,,,,,2
41852-11365,D,Kevin,Kevin Shattenkirk,Shattenkirk,6.9406,32,4700,DAL@TB,TB,DAL,,,,,3
41852-80443,W,Kevin,Kevin Stenlund,Stenlund,6.8724,2,3000,LA@CBJ,CBJ,LA,,,,0,4
41852-113269,C,Kirby,Kirby Dach,Dach,7.19593,29,3100,CHI@WPG,CHI,WPG,,,,,3
41852-39972,D,Kurtis,Kurtis MacDermid,MacDermid,5.236,21,3500,LA@CBJ,LA,CBJ,,,,0,3
41852-9275,W,Kyle,Kyle Clifford,Clifford,6.89413,35,3500,LA@CBJ,LA,CBJ,,,,,2
41852-70125,W,Kyle,Kyle Connor,Connor,10.2095,34,6600,CHI@WPG,WPG,CHI,,,,,1
41852-8502,W,Kyle,Kyle Okposo,Okposo,5.65367,25,3900,BUF@PHI,BUF,PHI,,,,0,4
41852-9077,C,Kyle,Kyle Turris,Turris,8.55327,26,3900,NSH@OTT,NSH,OTT,,,,,3
41852-66611,W,Lawson,Lawson Crouse,Crouse,5.54193,32,3400,MIN@ARI,ARI,MIN,,,,,3
41852-70909,W,Logan,Logan Brown,Brown,6.59547,20,3500,NSH@OTT,OTT,NSH,,,,0,4
41852-39395,W,Logan,Logan Shaw,Shaw,5.11827,20,3000,CHI@WPG,WPG,CHI,,,,0,4
41852-9066,D,Luca,Luca Sbisa,Sbisa,6.0966,22,3500,CHI@WPG,WPG,CHI,,,,,2
41852-62920,C,Lucas,Lucas Wallmark,Wallmark,6.9902,34,3400,CAR@COL,CAR,COL,,,,,3
41852-70327,C,Luke,Luke Johnson,Johnson,4.2618,1,3000,MIN@ARI,MIN,ARI,,,,,2
41852-70913,W,Luke,Luke Kunin,Kunin,6.2828,34,3600,MIN@ARI,MIN,ARI,,,,,3
41852-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,17.2411,24,8900,VGK@VAN,VGK,VAN,,,,,
41852-8903,D,Marco,Marco Scandella,Scandella,6.93373,27,3600,BUF@PHI,BUF,PHI,,,,0,3
41852-11150,W,Marcus,Marcus Foligno,Foligno,5.0298,25,3300,MIN@ARI,MIN,ARI,,,,0,4
41852-79886,G,Marcus,Marcus Hogberg,Hogberg,16.3707,3,7100,NSH@OTT,OTT,NSH,,,,,
41852-12220,C,Marcus,Marcus Johansson,Johansson,9.02207,28,4400,BUF@PHI,BUF,PHI,,,,,2
41852-12265,D,Mark,Mark Barberio,Barberio,7.13027,14,3500,CAR@COL,COL,CAR,,,,,3
41852-13743,D,Mark,Mark Borowiecki,Borowiecki,7.42607,35,3600,NSH@OTT,OTT,NSH,,,,,2
41852-8230,DD,Mark,Mark Giordano,Giordano,13.4335,36,5500,MON@CGY,CGY,MON,,,,,1
41852-15321,C,Mark,Mark Scheifele,Scheifele,10.2344,34,7600,CHI@WPG,WPG,CHI,,,,,1
41852-12628,W,Mark,Mark Stone,Stone,9.78647,37,6800,VGK@VAN,VGK,VAN,,,,,2
41852-53527,W,Marko,Marko Dano,Dano,6.38187,2,3000,LA@CBJ,CBJ,LA,,,,0,4
