Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41885-14184,D,Martin,Martin Marincin,Marincin,3.199999946,7,3500,TOR@NYR,TOR,NYR,,,,0,
41885-116883,D,Matt,Matt Abt,Abt,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-74127,D,Matt,Matt Benning,Benning,4.200000127,24,3500,PIT@EDM,EDM,PIT,IR,Head,,0,
41885-42869,G,Matt,Matt Murray,Murray,3.99,21,8000,PIT@EDM,PIT,EDM,,,,,
41885-13932,W,Matt,Matt Read,Read,3.799999873,12,3000,TOR@NYR,TOR,NYR,,,,0,
41885-117038,D,Matthew,Matthew Robertson,Robertson,0,0,3500,TOR@NYR,NYR,TOR,,,,0,
41885-11294,G,Michael,Michael Hutchinson,Hutchinson,6.514285496,7,7200,TOR@NYR,TOR,NYR,,,,0,
41885-116884,D,Michael,Michael Kim,Kim,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-12732,W,Michael,Michael Sgarbossa,Sgarbossa,0.800000012,2,3000,WSH@NJ,WSH,NJ,,,,0,
41885-9302,G,Michal,Michal Neuvirth,Neuvirth,4.914285932,7,7000,TOR@NYR,TOR,NYR,,,,0,
41885-9194,W,Micheal,Micheal Haley,Haley,2.293333435,15,3000,TOR@NYR,NYR,TOR,,,,0,
41885-9039,G,Mikko,Mikko Koskinen,Koskinen,17.67,22,8200,PIT@EDM,EDM,PIT,,,,0,
41885-74071,W,Nathan,Nathan Bastian,Bastian,8.342857361,7,3000,WSH@NJ,NJ,WSH,,,,0,
41885-116886,W,Nathan,Nathan Legare,Legare,0,0,3000,PIT@EDM,PIT,EDM,,,,0,
41885-42977,W,Nic,Nic Petan,Petan,3.799999952,16,3300,TOR@NYR,TOR,NYR,,,,0,
41885-39249,C,Nick,Nick Bjugstad,Bjugstad,4.720000076,10,3700,PIT@EDM,PIT,EDM,IR,Abdomen,,0,
41885-79910,W,Nick,Nick Caamano,Caamano,3.799999873,12,3000,DAL@FLA,DAL,FLA,,,,0,
41885-104277,D,Niclas,Niclas Almari,Almari,0,0,3500,PIT@EDM,PIT,EDM,,,,0,
41885-82049,W,Owen,Owen Tippett,Tippett,0,0,3000,DAL@FLA,FLA,DAL,,,,0,
41885-116893,W,Parker,Parker MacKay,MacKay,0,0,3000,DAL@FLA,DAL,FLA,,,,0,
